"GEOID","client_percent"
"080130121011",0.0538908033850454
"080130121012",0.0766019088915608
"080130121013",0.0574492698953406
"080130121014",0.345569305017212
"080130121031",0.0134973880310732
"080130121032",0.0211384681270895
"080130121033",0.445347263339553
"080130121041",0.29739066911465
"080130121042",0.0533727218397283
"080130121051",0.28290351677411
"080130121052",0.799036777621798
"080130121053",0.0349645330691232
"080130121054",0.100893062360197
"080130121061",0.204062975701363
"080130121062",0.609569351991469
"080130121071",1
"080130121072",0.0312540078209954
"080130121073",0.0144164339829852
"080130122011",0.313346316312279
"080130122012",0.0151451429308135
"080130122013",0.0377287019899488
"080130122041",0.338195357829064
"080130122042",0.0345354827638389
"080130122043",0.238856223970431
"080130122051",0.0576910125456539
"080130122052",0.155531077468667
"080130122061",0.0372743567155712
"080130122062",0.0552203629209338
"080130122071",0.527619504403122
"080130122072",0.218615355627556
"080130122073",0.230204287873914
"080130122081",0.224995588395486
"080130122082",0.0318324537490282
"080130123001",0
"080130123002",0.0555941761179325
"080130124011",0.00528618499669073
"080130124012",0.0443756688444114
"080130124013",0.0733557680805911
"080130124014",0.0548186868030602
"080130125011",0.0896458152850611
"080130125012",0.847113578479121
"080130125051",0.0328390168953474
"080130125052",0.0269392903215074
"080130125053",0.044787687116748
"080130125071",0.227825556068588
"080130125072",0.0413421035310282
"080130125073",0.0534147987926833
"080130125081",0.280920098749951
"080130125082",0.163934180284945
"080130125083",0.0986580424575109
"080130125091",0.106022993794543
"080130125092",0.0214883809922919
"080130125093",0.0115671567821341
"080130125101",0.0427920394523959
"080130125102",0.0597294390671874
"080130125103",0.0410147973209304
"080130125104",0.00854761789489063
"080130125111",0.138973617190401
"080130125112",0.0382874580736183
"080130125113",0.000705650927326096
"080130126031",0.0034561425349475
"080130126032",0.0320315268923661
"080130126033",0.0279092049954385
"080130126051",0.0361930525894901
"080130126052",0.0449026264536442
"080130126081",0.199399550228126
"080130126091",0.0744194594005511
"080130126101",0.0200685367538135
"080130126102",0.0119297920622424
"080130126103",0.0328695577081722
"080130127013",0.0354228408694673
"080130127014",0.256975930625154
"080130127051",0.0598420533565544
"080130127052",0.00415342479191074
"080130127053",0.00634674671069967
"080130127054",0.00172607811846903
"080130127055",0.00423890456432768
"080130127071",0.136830458128865
"080130127081",0.00220061614502337
"080130127082",0.00718800635253328
"080130127083",0.00309148380426837
"080130127084",0.0182209196880561
"080130127085",0.00429749362468694
"080130127091",0.00795789124877757
"080130127101",0.0109148603265077
"080130127102",0.115317642194715
"080130132051",0.00228433442422566
"080130132053",0.00440017901568128
"080130137043",0.00622312074182806
"080130137044",0.203110334032571
